commune_code;commune;population_2020;departement_code;departement;region_code;region
57001;Aboncourt;361;57;Moselle;44;Grand Est
57002;Aboncourt-sur-Seille;72;57;Moselle;44;Grand Est
57003;Abreschviller;1442;57;Moselle;44;Grand Est
57004;Achain;83;57;Moselle;44;Grand Est
57006;Achen;1007;57;Moselle;44;Grand Est
57007;Adaincourt;127;57;Moselle;44;Grand Est
57008;Adelange;210;57;Moselle;44;Grand Est
57009;Ajoncourt;102;57;Moselle;44;Grand Est
57010;Alaincourt-la-Côte;143;57;Moselle;44;Grand Est
57011;Albestroff;630;57;Moselle;44;Grand Est
57012;Algrange;6144;57;Moselle;44;Grand Est
57013;Alsting;2573;57;Moselle;44;Grand Est
57014;Altrippe;387;57;Moselle;44;Grand Est
57015;Altviller;586;57;Moselle;44;Grand Est
57016;Alzing;397;57;Moselle;44;Grand Est
57017;Amanvillers;2176;57;Moselle;44;Grand Est
57018;Amelécourt;165;57;Moselle;44;Grand Est
57019;Amnéville;10443;57;Moselle;44;Grand Est
57020;Ancerville;301;57;Moselle;44;Grand Est
57021;Ancy-Dornot;1581;57;Moselle;44;Grand Est
57022;Angevillers;1251;57;Moselle;44;Grand Est
57024;Antilly;167;57;Moselle;44;Grand Est
57025;Anzeling;513;57;Moselle;44;Grand Est
57026;Apach;1031;57;Moselle;44;Grand Est
57027;Arraincourt;128;57;Moselle;44;Grand Est
57028;Argancy;1351;57;Moselle;44;Grand Est
57029;Arriance;210;57;Moselle;44;Grand Est
57030;Arry;545;57;Moselle;44;Grand Est
57031;Ars-Laquenexy;929;57;Moselle;44;Grand Est
57032;Ars-sur-Moselle;4685;57;Moselle;44;Grand Est
57033;Arzviller;539;57;Moselle;44;Grand Est
57034;Aspach;33;57;Moselle;44;Grand Est
57035;Assenoncourt;115;57;Moselle;44;Grand Est
57036;Attilloncourt;106;57;Moselle;44;Grand Est
57037;Aube;267;57;Moselle;44;Grand Est
57038;Audun-le-Tiche;6800;57;Moselle;44;Grand Est
57039;Augny;1875;57;Moselle;44;Grand Est
57040;Aulnois-sur-Seille;278;57;Moselle;44;Grand Est
57041;Aumetz;2311;57;Moselle;44;Grand Est
57042;Avricourt;621;57;Moselle;44;Grand Est
57043;Ay-sur-Moselle;1499;57;Moselle;44;Grand Est
57044;Azoudange;115;57;Moselle;44;Grand Est
57045;Bacourt;110;57;Moselle;44;Grand Est
57046;Baerenthal;777;57;Moselle;44;Grand Est
57047;Bambiderstroff;1047;57;Moselle;44;Grand Est
57048;Bannay;72;57;Moselle;44;Grand Est
57049;Le Ban-Saint-Martin;4340;57;Moselle;44;Grand Est
57050;Barchain;110;57;Moselle;44;Grand Est
57051;Baronville;368;57;Moselle;44;Grand Est
57052;Barst;582;57;Moselle;44;Grand Est
57053;Bassing;121;57;Moselle;44;Grand Est
57054;Baudrecourt;186;57;Moselle;44;Grand Est
57055;Bazoncourt;542;57;Moselle;44;Grand Est
57056;Bébing;197;57;Moselle;44;Grand Est
57057;Béchy;641;57;Moselle;44;Grand Est
57058;Behren-lès-Forbach;6578;57;Moselle;44;Grand Est
57059;Bellange;55;57;Moselle;44;Grand Est
57060;Bénestroff;550;57;Moselle;44;Grand Est
57061;Béning-lès-Saint-Avold;1136;57;Moselle;44;Grand Est
57062;Berg-sur-Moselle;430;57;Moselle;44;Grand Est
57063;Bérig-Vintrange;222;57;Moselle;44;Grand Est
57064;Berling;280;57;Moselle;44;Grand Est
57065;Bermering;228;57;Moselle;44;Grand Est
57066;Berthelming;508;57;Moselle;44;Grand Est
57067;Bertrange;2727;57;Moselle;44;Grand Est
57069;Berviller-en-Moselle;478;57;Moselle;44;Grand Est
57070;Bettange;239;57;Moselle;44;Grand Est
57071;Bettborn;409;57;Moselle;44;Grand Est
57072;Bettelainville;628;57;Moselle;44;Grand Est
57073;Betting;862;57;Moselle;44;Grand Est
57074;Bettviller;840;57;Moselle;44;Grand Est
57075;Beux;265;57;Moselle;44;Grand Est
57076;Beyren-lès-Sierck;527;57;Moselle;44;Grand Est
57077;Bezange-la-Petite;92;57;Moselle;44;Grand Est
57079;Bibiche;451;57;Moselle;44;Grand Est
57080;Bickenholtz;80;57;Moselle;44;Grand Est
57081;Bidestroff;127;57;Moselle;44;Grand Est
57082;Biding;325;57;Moselle;44;Grand Est
57083;Bining;1166;57;Moselle;44;Grand Est
57084;Bioncourt;316;57;Moselle;44;Grand Est
57085;Bionville-sur-Nied;382;57;Moselle;44;Grand Est
57086;Belles-Forêts;250;57;Moselle;44;Grand Est
57087;Bisten-en-Lorraine;244;57;Moselle;44;Grand Est
57088;Bistroff;310;57;Moselle;44;Grand Est
57089;Bitche;5179;57;Moselle;44;Grand Est
57090;Blanche-Église;115;57;Moselle;44;Grand Est
57091;Bliesbruck;1010;57;Moselle;44;Grand Est
57092;Blies-Ébersing;660;57;Moselle;44;Grand Est
57093;Blies-Guersviller;630;57;Moselle;44;Grand Est
57095;Boucheporn;581;57;Moselle;44;Grand Est
57096;Boulange;2495;57;Moselle;44;Grand Est
57097;Boulay-Moselle;5604;57;Moselle;44;Grand Est
57098;Bourgaltroff;250;57;Moselle;44;Grand Est
57099;Bourdonnay;230;57;Moselle;44;Grand Est
57100;Bourscheid;181;57;Moselle;44;Grand Est
57101;Bousbach;1217;57;Moselle;44;Grand Est
57102;Bousse;3158;57;Moselle;44;Grand Est
57103;Bousseviller;125;57;Moselle;44;Grand Est
57104;Boust;1217;57;Moselle;44;Grand Est
57105;Boustroff;149;57;Moselle;44;Grand Est
57106;Bouzonville;3970;57;Moselle;44;Grand Est
57107;Bréhain;107;57;Moselle;44;Grand Est
57108;Breidenbach;331;57;Moselle;44;Grand Est
57109;Breistroff-la-Grande;694;57;Moselle;44;Grand Est
57110;Brettnach;447;57;Moselle;44;Grand Est
57111;Bronvaux;557;57;Moselle;44;Grand Est
57112;Brouck;84;57;Moselle;44;Grand Est
57113;Brouderdorff;970;57;Moselle;44;Grand Est
57114;Brouviller;427;57;Moselle;44;Grand Est
57115;Brulange;102;57;Moselle;44;Grand Est
57116;Buchy;108;57;Moselle;44;Grand Est
57117;Buding;591;57;Moselle;44;Grand Est
57118;Budling;181;57;Moselle;44;Grand Est
57119;Buhl-Lorraine;1225;57;Moselle;44;Grand Est
57120;Burlioncourt;148;57;Moselle;44;Grand Est
57121;Burtoncourt;194;57;Moselle;44;Grand Est
57122;Cappel;700;57;Moselle;44;Grand Est
